,query,seed_keyword,competition,avg_cpc,1,2,3,4,5,6,7,8,9,10,11,12
262,paris londres en autocar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,0,10
263,londres en train,train paris london,7.14,0.12,10,50,170,210,170,210,260,260,210,170,110,140
264,train euro star,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,10,10,10,10
265,billet paris londres train,train paris london,30.16,0.05,10,50,70,110,90,110,140,110,70,90,90,50
266,shuttle londres paris,train paris london,0.0,0.0,10,20,20,10,10,50,50,20,10,10,10,10
267,eurostar paris paris,train paris london,0.0,0.0,10,10,10,10,20,10,10,10,20,30,20,10
268,eurostar voyages sncf,train paris london,0.0,0.0,0,10,10,10,10,0,10,10,0,10,10,10
269,paris londres promo,train paris london,0.0,0.0,0,10,20,30,20,10,30,30,10,20,20,20
270,train londres bruxelles,train paris london,0.0,0.0,10,20,50,40,30,50,20,40,30,70,20,30
271,paris londres train hotel pas cher,train paris london,0.0,0.0,0,10,10,10,20,30,20,20,10,10,10,10
272,reserver un billet eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
273,paris manchester train,train paris london,2.3,0.1,30,170,320,320,260,390,480,480,480,480,390,480
274,tarif paris londres,train paris london,0.0,0.0,10,20,50,50,50,40,50,40,40,40,40,30
275,resa train,train paris london,17.86,0.12,90,260,590,720,590,590,880,720,590,720,720,590
276,eurostar paris londres pas cher,train paris london,0.0,0.0,10,50,110,210,110,140,260,170,110,110,70,50
277,billet train paris lille,train paris london,25.32,0.14,40,210,390,320,260,390,480,590,480,390,480,390
278,traversée eurostar,train paris london,0.0,0.0,10,10,30,40,20,20,30,20,40,20,20,20
279,paris londres pas cher en train,train paris london,0.0,0.06,0,10,10,10,10,0,10,10,30,10,10,10
